,file_path,tokens,structure,keywords,label
0,/Users/shinjeongtae/DB/External SSD for Data/Elderly Speech Recognition/contents/old/data_new/노인남여_노인대화38_M_1527671642_80_경상_실내_42530.wav,"[('그러니까', 'Adverb'), ('같은', 'Adjective'), ('시간', 'Noun'), ('에', 'Josa'), ('모이', 'Noun'), ('고', 'Josa'), ('하는게', 'Verb'), ('힘든', 'Adjective'), ('거지', 'Noun')]","[('그러니까', 'Adverb'), ('같은', 'Adjective'), ('시간', 'Noun'), ('에', 'Josa'), ('모이', 'Noun'), ('고', 'Josa'), ('하는게', 'Verb'), ('힘든', 'Adjective'), ('거지', 'Noun')]","['시간', '모이', '거지']","[305, 370, 3504, 89, 226, 6062, 2791, 26, 4259, 6543, 5, 439, 1, 152]"
1,/Users/shinjeongtae/DB/External SSD for Data/Elderly Speech Recognition/contents/old/data_new/노인남여_노인대화14_F_1528838253_60_강원_실내_P06331.wav,"[('요즘', 'Noun'), ('은', 'Josa'), ('높을수록', 'Adjective'), ('로열', 'Noun'), ('층', 'Noun'), ('이라고', 'Josa'), ('합니다', 'Verb')]","[('요즘', 'Noun'), ('은', 'Josa'), ('높을수록', 'Adjective'), ('로열', 'Noun'), ('층', 'Noun'), ('이라고', 'Josa'), ('합니다', 'Verb')]","['요즘', '로열', '층']","[1625, 6442, 3504, 4, 5228, 187, 793, 26, 4259, 6580, 370, 5938]"
2,/Users/shinjeongtae/DB/External SSD for Data/Elderly Speech Recognition/contents/old/data_new/노인남여_노인대화39_F_1556271619_72_전라_실내_44763.wav,"[('나', 'Noun'), ('는', 'Josa'), ('그걸', 'Adverb'), ('안', 'Noun'), ('먹고', 'Verb'), ('내', 'Noun'), ('꺼', 'Verb'), ('소고기', 'Noun'), ('미역국', 'Noun'), ('만', 'Josa'), ('먹기', 'Noun'), ('바뻤어', 'Adjective')]","[('나', 'Noun'), ('는', 'Josa'), ('그걸', 'Adverb'), ('안', 'Noun'), ('먹고', 'Verb'), ('내', 'Noun'), ('꺼', 'Verb'), ('소고기', 'Noun'), ('미역국', 'Noun'), ('만', 'Josa'), ('먹기', 'Noun'), ('바뻤어', 'Adjective')]","['나', '안', '내', '소고기', '미역국', '먹기']","[2, 305, 28, 144, 4259, 8, 219, 4259, 862, 2957, 2798, 693, 62, 862, 682]"
3,/Users/shinjeongtae/DB/External SSD for Data/Elderly Speech Recognition/contents/old/data_new/노인남여_노인대화38_M_1527671642_80_경상_실내_43392.wav,"[('막', 'Noun'), ('이런', 'Adjective'), ('식', 'Noun'), ('으로', 'Josa'), ('얘기', 'Noun'), ('하길래', 'Verb'), ('내', 'Noun'), ('가', 'Josa'), ('뭘', 'Noun'), ('보여줬어', 'Verb')]","[('막', 'Noun'), ('이런', 'Adjective'), ('식', 'Noun'), ('으로', 'Josa'), ('얘기', 'Noun'), ('하길래', 'Verb'), ('내', 'Noun'), ('가', 'Josa'), ('뭘', 'Noun'), ('보여줬어', 'Verb')]","['막', '식', '얘기', '내', '뭘']","[113, 26, 209, 5228, 891, 862, 6543, 139, 8, 63, 3367, 821]"
4,/Users/shinjeongtae/DB/External SSD for Data/Elderly Speech Recognition/contents/old/data_new/노인남여_노인대화39_F_1533524660_71_강원_실내_45064.wav,"[('그래서', 'Adverb'), ('걔', 'Noun'), ('는', 'Josa'), ('그거', 'Noun'), ('하고', 'Verb'), ('싶다고', 'Verb'), ('그러는거지', 'Adjective')]","[('그래서', 'Adverb'), ('걔', 'Noun'), ('는', 'Josa'), ('그거', 'Noun'), ('하고', 'Verb'), ('싶다고', 'Verb'), ('그러는거지', 'Adjective')]","['걔', '그거']","[305, 3357, 118, 305, 1, 6543, 4259, 5938, 4259, 305, 1, 152]"
5,/Users/shinjeongtae/DB/External SSD for Data/Elderly Speech Recognition/contents/old/data_new/노인남여_노인대화07_M_1520916170_75_수도권_실내_08141.wav,"[('애기', 'Noun'), ('하고는', 'Josa'), ('그런', 'Adjective'), ('계산', 'Noun'), ('이', 'Josa'), ('없으니까', 'Adjective'), ('애기', 'Noun'), ('한테', 'Josa'), ('자꾸', 'Noun'), ('사랑', 'Noun'), ('을', 'Josa'), ('주지', 'Noun')]","[('애기', 'Noun'), ('하고는', 'Josa'), ('그런', 'Adjective'), ('계산', 'Noun'), ('이', 'Josa'), ('없으니까', 'Adjective'), ('애기', 'Noun'), ('한테', 'Josa'), ('자꾸', 'Noun'), ('사랑', 'Noun'), ('을', 'Josa'), ('주지', 'Noun')]","['애기', '계산', '애기', '자꾸', '사랑', '주지']","[25, 862, 6543, 4259, 305, 122, 26, 370, 25, 862, 4233, 355, 955, 98, 176, 152]"
6,/Users/shinjeongtae/DB/External SSD for Data/Elderly Speech Recognition/contents/old/data_new/노인남여_노인대화12_F_1555665160_62_경상_실내_P06147.wav,"[('온갖', 'Noun'), ('것', 'Noun'), ('을', 'Josa'), ('아이', 'Noun'), ('를', 'Josa'), ('위해', 'Noun'), ('희생', 'Noun'), ('한다', 'Verb')]","[('온갖', 'Noun'), ('것', 'Noun'), ('을', 'Josa'), ('아이', 'Noun'), ('를', 'Josa'), ('위해', 'Noun'), ('희생', 'Noun'), ('한다', 'Verb')]","['온갖', '것', '아이', '위해', '희생']","[3, 26, 153, 395, 2291, 4233, 5938]"
7,/Users/shinjeongtae/DB/External SSD for Data/Elderly Speech Recognition/contents/old/data_new/노인남여_노인대화13_M_1532565861_61_전라_실내_16371.wav,"[('저', 'Noun'), ('도', 'Josa'), ('양파', 'Noun'), ('를', 'Josa'), ('두', 'Determiner'), ('자루', 'Noun'), ('를', 'Josa'), ('얻어', 'Verb'), ('가지', 'Noun'), ('고', 'Josa'), ('하루', 'Noun'), ('에', 'Josa'), ('한두', 'Modifier'), ('개', 'Noun'), ('씩', 'Suffix'), ('먹는거', 'Verb'), ('같아요', 'Adjective')]","[('저', 'Noun'), ('도', 'Josa'), ('양파', 'Noun'), ('를', 'Josa'), ('두', 'Determiner'), ('자루', 'Noun'), ('를', 'Josa'), ('얻어', 'Verb'), ('가지', 'Noun'), ('고', 'Josa'), ('하루', 'Noun'), ('에', 'Josa'), ('한두', 'Modifier'), ('개', 'Noun'), ('씩', 'Suffix'), ('먹는거', 'Verb'), ('같아요', 'Adjective')]","['저', '양파', '자루', '가지', '하루', '개']","[66, 771, 453, 2080, 955, 6328, 152, 4259, 6543, 6062, 4233, 69, 5923, 1, 1625]"
8,/Users/shinjeongtae/DB/External SSD for Data/Elderly Speech Recognition/contents/old/data_new/노인남여_노인대화13_M_1536456816_68_수도권_실내_17425.wav,"[('막', 'Noun'), ('날짜', 'Noun'), ('잡으라고', 'Verb'), ('그러면서', 'Adjective'), ('막', 'Noun'), ('그러드', 'Noun'), ('라', 'Josa')]","[('막', 'Noun'), ('날짜', 'Noun'), ('잡으라고', 'Verb'), ('그러면서', 'Adjective'), ('막', 'Noun'), ('그러드', 'Noun'), ('라', 'Josa')]","['막', '날짜', '막', '그러드']","[113, 58, 4259, 305, 362, 3357, 113, 305, 2159]"
9,/Users/shinjeongtae/DB/External SSD for Data/Elderly Speech Recognition/contents/old/data_new/노인남여_자유대화_M_1527672611_76_수도권_실내_20201123113917.wav,"[('그런데', 'Conjunction'), ('향기', 'Noun'), ('는', 'Josa'), ('없어요', 'Adjective')]","[('그런데', 'Conjunction'), ('향기', 'Noun'), ('는', 'Josa'), ('없어요', 'Adjective')]",['향기'],"[305, 15, 585, 862, 1625]"
